lang     scope          n          Rnd            F            T            R           FT           FR           TR          FTR         FTR*
python   full        1043  0.339/0.6098  0.765/0.8511  0.782/0.8678  0.759/0.8487  0.769/0.8570  0.767/0.8524  0.785/0.8678  0.770/0.8583  0.775/0.8619
python   annotated    435  0.326/0.6212  0.805/0.8775  0.811/0.8898  0.791/0.8716  0.809/0.8834  0.809/0.8806  0.818/0.8898  0.811/0.8866  0.823/0.8951
python   tiebreak      28  0.214/0.4039  0.107/0.4603  0.214/0.4744  0.107/0.4085  0.214/0.4940  0.143/0.4234  0.357/0.5197  0.179/0.4394  0.357/0.5721
java     full         313  0.444/0.6067  0.578/0.7606  0.722/0.8401  0.565/0.7529  0.613/0.7855  0.581/0.7614  0.703/0.8307  0.613/0.7854  0.617/0.7870
java     annotated     77  0.545/0.6778  0.649/0.7913  0.714/0.8323  0.597/0.7600  0.675/0.8076  0.662/0.7946  0.636/0.7944  0.675/0.8069  0.688/0.8134
java     tiebreak      10  0.000/0.2450  0.600/0.7750  0.600/0.7667  0.400/0.6500  0.600/0.7667  0.600/0.7583  0.400/0.6500  0.600/0.7667  0.600/0.7667
js       full         179  0.654/0.8032  0.749/0.8628  0.765/0.8703  0.760/0.8684  0.743/0.8600  0.749/0.8628  0.777/0.8759  0.743/0.8600  0.743/0.8600
js       annotated     52  0.750/0.8457  0.750/0.8718  0.788/0.8910  0.788/0.8910  0.750/0.8718  0.750/0.8718  0.827/0.9103  0.750/0.8718  0.750/0.8718
js       tiebreak       2  0.500/0.5625  0.500/0.5556  0.000/0.2222  0.500/0.5556  0.000/0.3056  0.500/0.5556  0.000/0.2222  0.000/0.3056  0.000/0.3056
c        full         140  0.621/0.7792  0.700/0.8174  0.700/0.8250  0.700/0.8174  0.700/0.8185  0.700/0.8174  0.700/0.8250  0.700/0.8185  0.700/0.8185
c        annotated      3  1.000/1.0000  1.000/1.0000  1.000/1.0000  1.000/1.0000  1.000/1.0000  1.000/1.0000  1.000/1.0000  1.000/1.0000  1.000/1.0000
c        tiebreak       4  0.000/0.2708  0.000/0.2333  0.250/0.6250  0.000/0.2333  0.000/0.2708  0.000/0.2333  0.250/0.6250  0.000/0.2708  0.000/0.2708
pooled   full      1675.0  0.416/0.6440  0.723/0.8327  0.762/0.8593  0.718/0.8303  0.731/0.8407  0.725/0.8336  0.762/0.8581  0.732/0.8415  0.736/0.8441
pooled   annotated  567.0  0.399/0.6515  0.780/0.8659  0.797/0.8827  0.765/0.8589  0.787/0.8727  0.785/0.8687  0.795/0.8793  0.788/0.8750  0.799/0.8825
pooled   tiebreak    44.0  0.159/0.3629  0.227/0.5155  0.295/0.5431  0.182/0.4542  0.273/0.5271  0.250/0.4883  0.341/0.5454  0.250/0.4924  0.364/0.5768
cells are Hit@1/MRR; Rnd = random shuffle of candidates (seed 42); FTR* = FTR with reason-gated R (per-language gate table)
